checkpoint_step,batch_size,epsilon,mean_delta_loss,stderr_delta_loss,mean_loss_change,stderr_loss_change,n
100,32,0.005,0.004683035016059861,0.0005900525087637607,-0.004683035016059861,0.0005900525087637607,10
100,32,0.007,0.006423676514625542,0.0008077725681209463,-0.006423676514625542,0.0008077725681209463,10
100,32,0.01,0.008894567728042596,0.0011160959962946602,-0.008894567728042596,0.0011160959962946602,10
100,32,0.015,0.012639689397811887,0.0015840320341001222,-0.012639689397811887,0.0015840320341001222,10
100,32,0.02,0.01592116928100586,0.0020007954824262076,-0.01592116928100586,0.0020007954824262076,10
100,32,0.03,0.02109905881881713,0.0027146268017790307,-0.02109905881881713,0.0027146268017790307,10
100,32,0.05,0.025909331512451162,0.003993759856925122,-0.025909331512451162,0.003993759856925122,10
100,32,0.07,0.023047245144844047,0.005984208364429318,-0.023047245144844047,0.005984208364429318,10
100,32,0.1,0.0028697006225585795,0.012659150619127802,-0.0028697006225585795,0.012659150619127802,10
100,32,0.15,-0.0814116997241974,0.038196533048945124,0.0814116997241974,0.038196533048945124,10
100,32,0.2,-0.2376616479635239,0.08375097485344977,0.2376616479635239,0.08375097485344977,10
100,32,0.3,-0.7504962240219115,0.21897346354628647,0.7504962240219115,0.21897346354628647,10
100,32,0.5,-2.3821442472457885,0.591835265408999,2.3821442472457885,0.591835265408999,10
100,32,1.0,-8.63409231877327,1.8522276453490076,8.63409231877327,1.8522276453490076,10
100,64,0.0001,0.0001032753944396947,8.938599549640908e-06,-0.0001032753944396947,8.938599549640908e-06,10
100,64,0.0003,0.00030933690071104916,2.6760803657786855e-05,-0.00030933690071104916,2.6760803657786855e-05,10
100,64,0.001,0.001025985407829283,8.852650408156872e-05,-0.001025985407829283,8.852650408156872e-05,10
100,64,0.002,0.002037658596038805,0.00017521007050544442,-0.002037658596038805,0.00017521007050544442,10
100,64,0.003,0.0030350795745849425,0.0002600692439843448,-0.0030350795745849425,0.0002600692439843448,10
100,64,0.005,0.004987641596794118,0.00042443527928282617,-0.004987641596794118,0.00042443527928282617,10
100,64,0.007,0.006884118437767023,0.0005818066871209115,-0.006884118437767023,0.0005818066871209115,10
100,64,0.01,0.00962466075420379,0.0008053168603424438,-0.00962466075420379,0.0008053168603424438,10
100,64,0.015,0.01391735432147978,0.0011462778396468505,-0.01391735432147978,0.0011462778396468505,10
100,64,0.02,0.017868513703346245,0.0014511922113433636,-0.017868513703346245,0.0014511922113433636,10
100,64,0.03,0.02476401262283324,0.001970624655415707,-0.02476401262283324,0.001970624655415707,10
100,64,0.05,0.034612011933326706,0.002813446759626572,-0.034612011933326706,0.002813446759626572,10
100,64,0.07,0.03933528857231138,0.0038181649334861133,-0.03933528857231138,0.0038181649334861133,10
100,64,0.1,0.03699131588935852,0.006673973693469312,-0.03699131588935852,0.006673973693469312,10
100,64,0.15,0.007691749072074872,0.016432687808515634,-0.007691749072074872,0.016432687808515634,10
100,64,0.2,-0.05482776815891268,0.032756527097804404,0.05482776815891268,0.032756527097804404,10
100,64,0.3,-0.28745288217067727,0.0867411323463784,0.28745288217067727,0.0867411323463784,10
100,64,0.5,-1.1283206453323367,0.25639847990991177,1.1283206453323367,0.25639847990991177,10
100,64,1.0,-4.60499753651619,0.8767869819745189,4.60499753651619,0.8767869819745189,10
100,128,0.0001,9.919860363006295e-05,8.819905433296969e-06,-9.919860363006295e-05,8.819905433296969e-06,10
100,128,0.0003,0.0002972641944885113,2.6414772664977344e-05,-0.0002972641944885113,2.6414772664977344e-05,10
