checkpoint_step,batch_size,epsilon,sample_id,loss_before,loss_after,delta_loss
100,4,0.02,8,0.4198776195049286,0.4803132266998291,-0.06043560719490054
100,4,0.03,8,0.4198776195049286,0.5391526079177856,-0.11927498841285705
100,4,0.05,8,0.4198776195049286,0.7231710472106934,-0.3032934277057648
100,4,0.07,8,0.4198776195049286,1.0148229894638061,-0.5949453699588776
100,4,0.1,8,0.4198776195049286,1.6817148151397705,-1.261837195634842
100,4,0.15,8,0.4198776195049286,3.327565002441406,-2.9076873829364773
100,4,0.2,8,0.4198776195049286,5.4394420204162595,-5.019564400911331
100,4,0.3,8,0.4198776195049286,10.619034698486328,-10.199157078981399
100,4,0.5,8,0.4198776195049286,23.954818145751954,-23.534940526247027
100,4,1.0,8,0.4198776195049286,74.88519921875,-74.46532159924507
100,4,0.0001,9,0.4198776195049286,0.4198728399276733,4.779577255253908e-06
100,4,0.0003,9,0.4198776195049286,0.41986336731910706,1.4252185821517216e-05
100,4,0.001,9,0.4198776195049286,0.4198303828239441,4.723668098449707e-05
100,4,0.002,9,0.4198776195049286,0.419783597946167,9.402155876159224e-05
100,4,0.003,9,0.4198776195049286,0.4197372179031372,0.0001404016017913512
100,4,0.005,9,0.4198776195049286,0.41964568591117857,0.0002319335937500111
100,4,0.007,9,0.4198776195049286,0.41955584716796873,0.00032177233695984686
100,4,0.01,9,0.4198776195049286,0.4194243121147156,0.00045330739021298694
100,4,0.015,9,0.4198776195049286,0.41921305751800536,0.0006645619869232178
100,4,0.02,9,0.4198776195049286,0.4190121176242828,0.0008655018806457693
100,4,0.03,9,0.4198776195049286,0.4186410210132599,0.0012365984916686834
100,4,0.05,9,0.4198776195049286,0.41801888346672056,0.0018587360382080198
100,4,0.07,9,0.4198776195049286,0.4175530471801758,0.002324572324752805
100,4,0.1,9,0.4198776195049286,0.4171487724781036,0.0027288470268249654
100,4,0.15,9,0.4198776195049286,0.4172537696361542,0.002623849868774397
100,4,0.2,9,0.4198776195049286,0.41832836365699766,0.0015492558479309193
100,4,0.3,9,0.4198776195049286,0.42340915179252625,-0.003531532287597672
100,4,0.5,9,0.4198776195049286,0.4458162274360657,-0.025938607931137114
100,4,1.0,9,0.4198776195049286,0.5924530034065246,-0.17257538390159605
100,8,0.0001,0,0.4198776195049286,0.41974295616149904,0.0001346633434295419
100,8,0.0003,0,0.4198776195049286,0.4194750695228577,0.00040254998207089887
100,8,0.001,0,0.4198776195049286,0.41855244946479797,0.0013251700401306077
100,8,0.002,0,0.4198776195049286,0.4172753186225891,0.002602300882339481
100,8,0.003,0,0.4198776195049286,0.41604573202133177,0.0038318874835968075
100,8,0.005,0,0.4198776195049286,0.41372883439064023,0.0061487851142883465
100,8,0.007,0,0.4198776195049286,0.411600923538208,0.008276695966720593
100,8,0.01,0,0.4198776195049286,0.40875911617279054,0.011118503332138041
100,8,0.015,0,0.4198776195049286,0.4049478979110718,0.014929721593856804
100,8,0.02,0,0.4198776195049286,0.40229742336273194,0.017580196142196636
100,8,0.03,0,0.4198776195049286,0.4004954686164856,0.019382150888442973
100,8,0.05,0,0.4198776195049286,0.4113284902572632,0.008549129247665377
100,8,0.07,0,0.4198776195049286,0.44406694650650025,-0.02418932700157167
100,8,0.1,0,0.4198776195049286,0.5474474415779114,-0.12756982207298279
100,8,0.15,0,0.4198776195049286,0.9081856827735901,-0.48830806326866155
100,8,0.2,0,0.4198776195049286,1.5074195375442505,-1.087541918039322
100,8,0.3,0,0.4198776195049286,3.359315776824951,-2.9394381573200223
100,8,0.5,0,0.4198776195049286,9.04905744934082,-8.629179829835891
100,8,1.0,0,0.4198776195049286,29.934385940551756,-29.51450832104683
100,8,0.0001,1,0.4198776195049286,0.41976428318023684,0.00011333632469173738
100,8,0.0003,1,0.4198776195049286,0.4195390119552612,0.00033860754966735795
100,8,0.001,1,0.4198776195049286,0.4187640309333801,0.001113588571548474
100,8,0.002,1,0.4198776195049286,0.4176938154697418,0.002183804035186754
100,8,0.003,1,0.4198776195049286,0.41666486811637876,0.003212751388549817
100,8,0.005,1,0.4198776195049286,0.4147311427593231,0.005146476745605477
100,8,0.007,1,0.4198776195049286,0.4129602177143097,0.006917401790618893
100,8,0.01,1,0.4198776195049286,0.41060320401191713,0.009274415493011445
100,8,0.015,1,0.4198776195049286,0.40746146845817566,0.012416151046752921
100,8,0.02,1,0.4198776195049286,0.40528594636917115,0.014591673135757433
100,8,0.03,1,0.4198776195049286,0.40379898238182066,0.01607863712310792
100,8,0.05,1,0.4198776195049286,0.4127793929576874,0.007098226547241182
100,8,0.07,1,0.4198776195049286,0.43958067750930785,-0.01970305800437927
100,8,0.1,1,0.4198776195049286,0.519318612575531,-0.09944099307060245
100,8,0.15,1,0.4198776195049286,0.7760981488227844,-0.3562205293178558
100,8,0.2,1,0.4198776195049286,1.1624914073944093,-0.7426137878894807
100,8,0.3,1,0.4198776195049286,2.2638882904052733,-1.8440106709003448
100,8,0.5,1,0.4198776195049286,5.618163845062256,-5.198286225557327
100,8,1.0,1,0.4198776195049286,18.42273454284668,-18.002856923341753
100,8,0.0001,2,0.4198776195049286,0.4198507976531982,2.682185173036311e-05
100,8,0.0003,2,0.4198776195049286,0.4197978503704071,7.976913452145684e-05
100,8,0.001,2,0.4198776195049286,0.4196194121837616,0.0002582073211669922
100,8,0.002,2,0.4198776195049286,0.4193832914829254,0.0004943280220031654
100,8,0.003,2,0.4198776195049286,0.41916901421546937,0.0007086052894592076
100,8,0.005,2,0.4198776195049286,0.41880618596076963,0.0010714335441589506
100,8,0.007,2,0.4198776195049286,0.41853154945373533,0.0013460700511932489
100,8,0.01,2,0.4198776195049286,0.41828308629989625,0.0015945332050323335
100,8,0.015,2,0.4198776195049286,0.41830749440193177,0.001570125102996811
100,8,0.02,2,0.4198776195049286,0.4188869459629059,0.000990673542022702
100,8,0.03,2,0.4198776195049286,0.4217397308349609,-0.0018621113300323344
100,8,0.05,2,0.4198776195049286,0.43461251616477964,-0.01473489665985106
100,8,0.07,2,0.4198776195049286,0.4584755716323853,-0.0385979521274567
100,8,0.1,2,0.4198776195049286,0.5225012011528015,-0.10262358164787294
100,8,0.15,2,0.4198776195049286,0.7478096227645874,-0.3279320032596588
100,8,0.2,2,0.4198776195049286,1.1310268688201903,-0.7111492493152618
100,8,0.3,2,0.4198776195049286,2.1233132972717286,-1.7034356777668
100,8,0.5,2,0.4198776195049286,4.471803314208985,-4.051925694704056
100,8,1.0,2,0.4198776195049286,12.02129596710205,-11.601418347597122
100,8,0.0001,3,0.4198776195049286,0.4198739149570465,3.7045478820663114e-06
